"Season","TeamName","Tempo","RankTempo","AdjTempo","RankAdjTempo","OE","RankOE","AdjOE","RankAdjOE","DE","RankDE","AdjDE","RankAdjDE","AdjEM","RankAdjEM"
"2026","St. Thomas",69.6879,112,68.3159,126,117.357,43,114.269,97,105.172,97,108.391,147,5.87829,109
"2026","Stanford",68.2496,192,66.951,205,111.671,109,117.797,60,107.108,140,104.08,75,13.7172,59
"2026","Stephen F. Austin",66.2948,286,65.9632,264,114.258,72,113.754,104,99.4583,25,104.414,79,9.34004,89
"2026","Stetson",67.8854,209,66.7213,220,105.731,238,105.525,251,117.4,344,118.08,329,-12.5553,303
"2026","Stonehill",66.57,270,66.4051,236,94.7903,356,92.034,362,103.044,63,109.353,172,-17.3195,333
"2026","Stony Brook",66.4038,280,66.2986,243,104.69,258,105.517,252,107.684,156,110.981,208,-5.46411,228
"2026","Syracuse",67.842,213,67.5062,176,108.699,174,115.23,84,106.855,133,104.936,91,10.2941,80
"2026","Tarleton St.",69.9817,93,69.0363,93,101.532,309,104.409,267,106.419,118,108.379,146,-3.96967,215
"2026","TCU",69.5311,121,67.5794,167,110.475,128,114.7,93,101.047,38,97.2904,19,17.4096,44
"2026","Temple",65.438,321,65.0633,305,111.928,103,112.676,115,109.01,197,111.97,226,0.705983,161
"2026","Tennessee",67.5777,221,65.2547,296,117.363,42,121.479,36,101.916,45,95.3861,15,26.0925,15
"2026","Tennessee Martin",65.9541,300,64.1823,337,102.624,298,100.658,321,97.8176,13,105.554,98,-4.89619,223
"2026","Tennessee St.",70.5659,76,70.2617,35,110.224,133,109.354,173,103.968,77,111.159,211,-1.80508,186
"2026","Tennessee Tech",68.2839,189,66.8822,211,103.111,287,102.776,291,110.298,231,116.138,304,-13.3611,314
"2026","Texas",68.5281,173,66.7536,217,120.295,16,126.252,9,111.293,253,106.337,111,19.9148,33
"2026","Texas A&M",72.8627,14,70.6477,27,118.772,33,120.598,44,107.081,139,100.83,37,19.7679,35
"2026","Texas A&M Corpus Chris",66.741,259,66.1775,248,103.13,286,105.352,255,103.951,76,105.789,102,-0.437328,175
"2026","Texas Southern",70.7405,67,68.6285,114,103.171,282,102.361,299,110.989,245,115.234,294,-12.8725,308
"2026","Texas St.",67.3153,235,66.0679,254,105.488,242,104.266,268,106.308,114,110.93,206,-6.66377,244
"2026","Texas Tech",68.0651,200,66.2574,245,118.95,31,126.2,10,106.503,123,100.114,33,26.0858,16
"2026","The Citadel",64.7839,336,64.402,330,102.79,294,100.99,315,119.485,357,121.18,352,-20.1902,346
"2026","Toledo",69.5004,123,67.9487,141,115.271,63,114.998,88,111.855,268,112.347,236,2.65068,135
"2026","Towson",63.8695,358,63.5074,345,104.625,261,106.062,234,103.537,70,104.895,90,1.16685,152
"2026","Troy",67.0265,245,64.9239,311,112.198,101,110.925,142,106.434,119,109.194,166,1.73104,143
"2026","Tulane",68.0633,201,66.9739,204,105.08,249,108.006,194,110.217,230,111.667,216,-3.66075,210
"2026","Tulsa",68.8047,158,67.9881,140,123.013,4,122.318,29,106.317,115,108.375,145,13.9426,58
"2026","UAB",70.4317,80,69.0943,89,109.421,153,109.929,163,103.789,74,105.961,105,3.9681,124
